IP_address,ASN,latitude,longitude,city,region,country,org
95.216.255.69,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.108.64.185,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
135.181.163.53,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.21.148.170,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
159.69.45.180,AS24940,49.4542,11.0775,Nürnberg,Bavaria,DE,AS24940 Hetzner Online GmbH
95.216.126.34,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
94.130.221.59,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
135.181.143.140,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
135.181.163.50,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.216.109.143,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
162.55.233.241,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
88.99.249.174,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
195.201.238.2,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.217.71.199,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.119.124,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.48.122,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
135.181.143.149,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.194.249,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
5.9.67.49,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
157.90.91.97,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.216.62.37,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
